Time,Last Pit,Air Temp,Track Temp,Wind Speed,Yellow
24680,45.78751666666667,61.80008,62.00006,0.0,0
24700,46.12085,61.80008,62.00006,0.0,0
24720,46.45418333333334,61.80008,62.00006,0.0,0
24740,46.78751666666667,61.80008,62.00006,0.6,0
24760,47.12085,61.80008,62.00006,0.6,0
24780,47.45418333333334,61.80008,62.00006,0.6,0
24800,47.78751666666667,61.80008,62.00006,1.3,0
24820,48.12085,61.80008,62.00006,1.3,0
24840,48.45418333333334,61.80008,62.00006,1.3,0
24860,48.78751666666667,61.7,62.00006,0.0,0
24880,49.12085,61.7,62.00006,0.0,0
24900,49.45418333333334,61.7,62.00006,0.0,0
24920,49.78751666666667,61.80008,62.00006,0.0,0
24940,50.12085,61.80008,62.00006,0.0,0
24960,50.45418333333334,61.80008,62.00006,0.0,0
24980,50.78751666666667,61.80008,62.00006,1.3,0
25000,51.12085,61.80008,62.00006,1.3,0
25020,51.45418333333334,61.80008,62.00006,1.3,0
25040,51.78751666666667,61.80008,62.00006,0.0,0
25060,52.12085,61.80008,62.00006,0.0,0
25080,52.45418333333334,61.80008,62.00006,0.0,0
25100,52.78751666666667,61.7,62.00006,0.0,0
25120,53.12085,61.7,62.00006,0.0,0
25140,53.45418333333334,61.7,62.00006,0.0,0
25160,53.78751666666667,61.80008,62.00006,0.0,0
25180,54.12085,61.80008,62.00006,0.0,0
25200,54.45418333333334,61.80008,62.00006,0.0,0
25220,54.78751666666667,61.80008,62.00006,0.0,0
25240,55.12085,61.80008,62.00006,0.0,0
25260,55.45418333333334,61.80008,62.00006,0.0,0
25280,55.78751666666667,61.899980000000006,62.00006,0.0,0
25300,56.12085,61.899980000000006,62.00006,0.0,0
25320,56.45418333333334,61.899980000000006,62.00006,0.0,0
25340,56.78751666666667,61.80008,62.00006,0.0,0
25360,57.12085,61.80008,62.00006,0.0,0
25380,57.45418333333334,61.80008,62.00006,0.0,0
25400,57.78751666666667,61.80008,62.00006,0.0,0
25420,58.12085,61.80008,62.00006,0.0,0
25440,58.45418333333334,61.80008,62.00006,0.0,0
25460,58.78751666666667,61.899980000000006,62.00006,0.0,0
25480,59.12085,61.899980000000006,62.00006,0.0,0
25500,59.45418333333334,61.899980000000006,62.00006,0.0,0
25520,59.78751666666667,61.899980000000006,62.00006,0.0,0
25540,60.12085,61.899980000000006,62.00006,0.0,0
25560,60.45418333333334,61.899980000000006,62.00006,0.0,0
25580,60.78751666666667,61.899980000000006,62.00006,0.0,0
25600,61.12085,61.899980000000006,62.00006,0.0,0
25620,61.45418333333334,61.899980000000006,62.00006,0.0,0
25640,61.78751666666667,61.899980000000006,62.00006,0.0,0
25660,62.12085,61.899980000000006,62.00006,0.0,0
25680,62.45418333333334,61.899980000000006,62.00006,0.0,0
25700,62.78751666666667,61.899980000000006,62.00006,0.0,0
25720,63.12085,61.899980000000006,62.00006,0.0,0
25740,63.45418333333334,61.899980000000006,62.00006,0.0,0
25760,63.78751666666667,61.80008,62.00006,0.0,0
25780,64.12085,61.80008,62.00006,0.0,0
25800,64.45418333333333,61.80008,62.00006,0.0,0
25820,64.78751666666668,61.899980000000006,62.00006,0.0,0
25840,65.12085,61.899980000000006,62.00006,0.0,0
25860,65.45418333333333,61.899980000000006,62.00006,0.0,0
25880,65.78751666666668,61.899980000000006,62.00006,0.0,0
25900,66.12085,61.899980000000006,62.00006,0.0,0
25920,66.45418333333333,61.899980000000006,62.00006,0.0,0
25940,66.78751666666668,61.899980000000006,62.00006,0.0,0
25960,67.12085,61.899980000000006,62.00006,0.0,0
25980,67.45418333333333,61.899980000000006,62.00006,0.0,0
26000,67.78751666666668,61.899980000000006,62.00006,0.0,0
26020,68.12085,61.899980000000006,62.00006,0.0,0
26040,68.45418333333333,61.899980000000006,62.00006,0.0,0
26060,68.78751666666668,61.80008,62.00006,0.0,0
26080,69.12085,61.80008,62.00006,0.0,0
26100,69.45418333333333,61.80008,62.00006,0.0,0
26140,70.12085,61.80008,62.00006,0.0,0
26160,70.45418333333333,61.80008,62.00006,0.0,0
26180,70.78751666666669,61.80008,62.00006,0.0,0
26200,71.12085,61.80008,62.00006,0.0,0
26220,71.45418333333333,61.80008,62.00006,0.0,0
26240,71.78751666666669,61.80008,62.00006,0.0,0
