Time,Max Concentration,Last Pit,Air Temp,Track Temp,Humidity,Pressure,Wind Speed,Yellow
22300.0,8.564919232811635,64.88503333333331,54.39992,55.00004000000001,55,30.16499715,3.9,0
22320.0,6.802721088435375,65.21836666666665,54.39992,55.00004000000001,55,30.16499715,3.9,0
22340.0,6.3775510204081645,65.55169999999998,54.5,55.00004000000001,55,30.16499715,1.9,0
22360.0,6.3069376313945344,65.88503333333331,54.5,55.00004000000001,55,30.16499715,1.9,0
22380.0,8.333333333333334,66.21836666666665,54.5,55.00004000000001,55,30.16499715,1.9,0
22400.0,7.995735607675908,66.55169999999998,54.5,55.00004000000001,55,30.164111246999997,5.2,0
22420.0,7.422930001770084,66.88503333333331,54.5,55.00004000000001,55,30.164111246999997,5.2,0
22440.0,8.928571428571429,67.21836666666665,54.5,55.00004000000001,55,30.164111246999997,5.2,0
22460.0,9.491525423728813,67.55169999999998,54.5,55.00004000000001,55,30.166178354,3.2,0
22480.0,9.103641456582633,67.88503333333331,54.5,55.00004000000001,55,30.166178354,3.2,0
22500.0,8.333333333333334,60.52664999999998,54.5,55.00004000000001,55,30.166178354,3.2,0
22520.0,10.848897694894736,60.859983333333304,54.60008000000001,55.00004000000001,54,30.168245460999998,5.2,0
22540.0,8.928571428571429,61.19331666666664,54.60008000000001,55.00004000000001,54,30.168245460999998,5.2,0
22560.0,9.408602150537632,61.52664999999998,54.60008000000001,55.00004000000001,54,30.168245460999998,5.2,0
22580.0,9.103641456582633,61.859983333333304,54.5,55.00004000000001,54,30.168245460999998,7.2,0
22600.0,5.4559625876851126,60.85831666666666,54.5,55.00004000000001,54,30.168245460999998,7.2,0
22620.0,9.135913848332413,61.19165,54.5,55.00004000000001,54,30.168245460999998,7.2,0
22640.0,7.915552364205872,61.52498333333333,54.60008000000001,55.00004000000001,54,30.166178354,1.3,0
22660.0,7.653061224489796,61.85831666666666,54.60008000000001,55.00004000000001,54,30.166178354,1.3,0
22680.0,5.423728813559324,62.19165,54.60008000000001,55.00004000000001,54,30.166178354,1.3,0
22700.0,16.666666666666668,62.52498333333333,54.60008000000001,55.00004000000001,54,30.167064257,3.9,0
22720.0,7.462686567164179,62.85831666666666,54.60008000000001,55.00004000000001,54,30.167064257,3.9,0
22740.0,9.706908463853187,63.19165,54.60008000000001,55.00004000000001,54,30.167064257,3.9,0
22760.0,8.333333333333334,63.52498333333333,54.60008000000001,55.00004000000001,54,30.167064257,7.9,0
22780.0,6.720430107526883,63.85831666666666,54.60008000000001,55.00004000000001,54,30.167064257,7.9,0
22800.0,9.803921568627453,64.19165,54.60008000000001,55.00004000000001,54,30.167064257,7.9,0
22820.0,7.794232268121589,64.52498333333332,54.69998,55.00004000000001,55,30.168245460999998,3.2,0
22840.0,10.848897694894736,64.85831666666667,54.69998,55.00004000000001,55,30.168245460999998,3.2,0
