"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"54","LMP3","George Kurtz","320","1:54.694","10:51:29.339","Green","Track","26.019","49.416","39.259"
"4","GTLM","Nick Tandy","343","1:43.538","10:51:32.086","Green","Track","24.650","48.195","30.693"
"3","GTLM","Jordan Taylor","343","1:43.310","10:51:32.438","Green","Track","24.738","48.136","30.436"
"24","GTLM","Jesse Krohn","343","1:43.514","10:51:33.424","Green","Track","24.841","48.179","30.494"
"62","GTLM","Jules Gounon","343","1:43.410","10:51:34.650","Green","Track","24.784","48.014","30.612"
"52","LMP2","Scott Huffaker","326","1:38.247","10:51:35.497","Green","Track","23.744","46.042","28.461"
"10","DPi","Filipe Albuquerque","361","1:37.023","10:51:40.478","Green","Track","23.280","44.911","28.832"
"74","LMP3","Scott Andrews","337","1:43.981","10:51:42.149","Green","Track","24.727","48.535","30.719"
"25","GTLM","Bruno Spengler","343","1:43.733","10:51:42.450","Green","Track","24.983","48.408","30.342"
"01","DPi","Kevin Magnussen","361","1:36.126","10:51:42.578","Green","Track","23.257","44.619","28.250"
"48","DPi","Simon Pagenaud","361","1:36.015","10:51:43.661","Green","Track","23.187","44.809","28.019"
"31","DPi","Pipo Derani","361","1:36.495","10:51:44.556","Green","Track","23.289","45.084","28.122"
"60","DPi","Olivier Pla","361","1:37.443","10:51:50.306","Green","Track","23.648","45.524","28.271"
"55","DPi","Harry Tincknell","358","1:36.564","10:51:53.856","Green","Track","23.285","44.738","28.541"
"6","LMP3","Moritz Kranz","337","1:46.227","10:51:55.889","Green","Track","25.217","49.669","31.341"
"7","LMP3","Ryan Norman","288","1:46.577","10:52:03.629","Green","Track","25.726","49.415","31.436"
"38","LMP3","Rasmus Lindh","279","1:44.423","10:52:05.406","Green","Track","24.600","48.671","31.152"
"111","GTD","Steijn Schothorst","302","1:47.191","10:52:14.448","Green","Track","25.379","49.831","31.981"
"57","GTD","Maro Engel","334","1:47.053","10:52:15.910","Green","Track","25.186","50.039","31.828"
"75","GTD","Mikael Grenier","334","1:46.933","10:52:19.573","Green","Track","25.257","49.748","31.928"
"21","GTD","Simon Mann","334","1:47.310","10:52:21.423","Green","Track","25.411","49.858","32.041"
"44","GTD","Andy Lally","330","2:20.965","10:52:21.789","Green","Track","52.336","54.627","34.002"
"18","LMP2","Dwight Merriman","350","1:44.257","10:52:23.101","Green","Track","25.412","48.534","30.311"
"47","LMP2","Giorgio Sernagiotto","352","1:41.376","10:52:25.072","Green","Track","25.078","47.293","29.005"
"28","GTD","Maxi Buhk","330","1:47.943","10:52:26.067","Green","Track","25.786","50.219","31.938"
"9","GTD","Lars Kern","334","1:47.629","10:52:29.709","Green","Track","25.526","50.053","32.050"
"79","GTLM","Richard Lietz","332","1:43.463","10:52:31.113","Green","Track","24.609","48.226","30.628"
"23","GTD","Ian James","334","1:48.351","10:52:31.534","Green","Track","26.042","50.257","32.052"
"5","DPi","Tristan Vautier","315","1:38.181","10:52:37.549","Green","Track","23.184","46.130","28.867"
"97","GTD","Ben Keating","334","1:48.473","10:52:38.097","Green","Track","25.892","50.351","32.230"
"96","GTD","Aidan Read","333","1:47.923","10:52:39.753","Green","Track","25.881","50.184","31.858"
"33","LMP3","Wayne Boyd","334","1:46.083","10:52:43.438","Green","Track","24.688","49.993","31.402"
"42","GTD","JR Hildebrand","327","1:49.278","10:52:43.815","Green","Track","26.165","50.645","32.468"
"63","GTD","Bret Curtis","333","1:50.991","10:52:45.182","Green","Track","26.192","51.924","32.875"
"11","LMP2","Steven Thomas","352","1:41.163","10:52:50.147","Green","Track","24.624","46.940","29.599"
"51","LMP2","Austin Dillon","348","2:49.825","10:52:53.346","Green","Track","91.027","48.257","30.541"
"91","LMP3","Jeroen Bleekemolen","327","1:43.744","10:52:59.374","Green","Track","24.709","48.272","30.763"
"8","LMP2","John Farano","352","1:43.492","10:53:06.179","Green","Track","24.899","48.743","29.850"
"14","GTD","Kyle Kirkwood","330","1:47.483","10:53:09.307","Green","Track","25.423","50.007","32.053"
"16","GTD","Patrick Long","334","1:47.424","10:53:11.587","Green","Track","25.433","49.945","32.046"
"1","GTD","Madison Snow","334","1:47.943","10:53:13.597","Green","Track","25.963","49.987","31.993"
"64","GTD","Hugh Plumb","328","1:48.840","10:53:14.380","Green","Track","26.409","50.217","32.214"
"52","LMP2","Scott Huffaker","327","1:39.765","10:53:15.262","Green","Track","24.099","46.495","29.171"
"4","GTLM","Nick Tandy","344","1:43.664","10:53:15.750","Green","Track","24.699","48.357","30.608"
"3","GTLM","Jordan Taylor","344","1:43.492","10:53:15.930","Green","Track","24.765","48.338","30.389"
"24","GTLM","Jesse Krohn","344","1:43.461","10:53:16.885","Green","Track","24.883","48.153","30.425"
"10","DPi","Filipe Albuquerque","362","1:36.673","10:53:17.151","Green","Track","23.235","45.052","28.386"
"62","GTLM","Jules Gounon","344","1:43.851","10:53:18.501","Green","Track","24.733","48.480","30.638"
"54","LMP3","George Kurtz","321","1:49.287","10:53:18.626","Green","Track","25.879","51.562","31.846"
"01","DPi","Kevin Magnussen","362","1:37.122","10:53:19.700","Green","Track","24.176","44.873","28.073"
"48","DPi","Simon Pagenaud","362","1:36.598","10:53:20.259","Green","Track","23.608","44.955","28.035"
"31","DPi","Pipo Derani","362","1:37.138","10:53:21.694","Green","Track","23.676","45.352","28.110"
"74","LMP3","Scott Andrews","338","1:45.317","10:53:27.466","Green","Track","25.143","49.048","31.126"
"60","DPi","Olivier Pla","362","1:37.163","10:53:27.469","Green","Track","23.579","45.332","28.252"
"25","GTLM","Bruno Spengler","344","1:45.091","10:53:27.541","Green","Track","26.149","48.554","30.388"
"55","DPi","Harry Tincknell","359","1:35.865","10:53:29.721","Green","Track","23.302","44.573","27.990"
"6","LMP3","Moritz Kranz","338","1:47.042","10:53:42.931","Green","Track","26.434","49.272","31.336"
"7","LMP3","Ryan Norman","289","1:45.682","10:53:49.311","Green","Track","25.124","49.150","31.408"
"88","GTD","Earl Bamber","333","2:52.525","10:53:49.613","Green","Track","85.272","53.984","33.269"
"38","LMP3","Rasmus Lindh","280","1:44.405","10:53:49.811","Green","Track","24.745","48.584","31.076"
"111","GTD","Steijn Schothorst","303","1:46.862","10:54:01.310","Green","Track","25.106","49.819","31.937"
"57","GTD","Maro Engel","335","1:46.517","10:54:02.427","Green","Track","25.175","49.521","31.821"
"47","LMP2","Giorgio Sernagiotto","353","1:40.174","10:54:05.246","Green","Track","24.147","46.781","29.246"
"75","GTD","Mikael Grenier","335","1:46.854","10:54:06.427","Green","Track","25.189","49.739","31.926"
"18","LMP2","Dwight Merriman","351","1:43.315","10:54:06.416","Green","Track","25.127","47.772","30.416"
"21","GTD","Simon Mann","335","1:47.402","10:54:08.825","Green","Track","25.641","49.982","31.779"
"44","GTD","Andy Lally","331","1:51.953","10:54:13.742","Green","Track","27.102","51.799","33.052"
"28","GTD","Maxi Buhk","331","1:47.693","10:54:13.760","Green","Track","25.626","49.914","32.153"
"5","DPi","Tristan Vautier","316","1:36.626","10:54:14.175","Green","Track","23.081","44.852","28.693"
"79","GTLM","Richard Lietz","333","1:43.660","10:54:14.773","Green","Track","24.630","48.496","30.534"
"9","GTD","Lars Kern","335","1:48.101","10:54:17.810","Green","Track","25.513","50.424","32.164"
"23","GTD","Ian James","335","1:48.040","10:54:19.574","Green","Track","25.660","50.115","32.265"
"82","LMP2","Christopher Mies","351","2:56.904","10:54:22.531","Green","Track","98.923","48.248","29.733"
"97","GTD","Ben Keating","335","1:48.898","10:54:26.995","Green","Track","25.711","51.048","32.139"
"96","GTD","Aidan Read","334","1:48.039","10:54:27.792","Green","Track","25.827","50.329","31.883"
"33","LMP3","Wayne Boyd","335","1:44.417","10:54:27.855","Green","Track","24.713","48.767","30.937"
"11","LMP2","Steven Thomas","353","1:41.243","10:54:31.390","Green","Track","24.519","47.203","29.521"
"42","GTD","JR Hildebrand","328","1:48.719","10:54:32.534","Green","Track","25.763","50.505","32.451"
"63","GTD","Bret Curtis","334","1:49.956","10:54:35.138","Green","Track","26.353","50.803","32.800"
"51","LMP2","Austin Dillon","349","1:43.080","10:54:36.426","Green","Track","25.059","47.890","30.131"
"91","LMP3","Jeroen Bleekemolen","328","1:44.010","10:54:43.384","Green","Track","24.803","48.430","30.777"
"8","LMP2","John Farano","353","1:41.968","10:54:48.147","Green","Track","24.615","47.549","29.804"
"52","LMP2","Scott Huffaker","328","1:39.361","10:54:54.623","Green","Track","24.567","46.139","28.655"
"10","DPi","Filipe Albuquerque","363","1:39.159","10:54:56.310","Green","Track","23.817","46.338","29.004"
"14","GTD","Kyle Kirkwood","331","1:47.284","10:54:56.591","Green","Track","25.374","49.963","31.947"
"01","DPi","Kevin Magnussen","363","1:38.927","10:54:58.627","Green","Track","24.623","45.645","28.659"
"16","GTD","Patrick Long","335","1:47.334","10:54:58.921","Green","Track","25.555","49.818","31.961"
"4","GTLM","Nick Tandy","345","1:43.418","10:54:59.168","Green","Track","24.658","48.215","30.545"
"48","DPi","Simon Pagenaud","363","1:39.019","10:54:59.278","Green","Track","24.476","45.597","28.946"
"31","DPi","Pipo Derani","363","1:38.253","10:54:59.947","Green","Track","23.524","45.524","29.205"
"3","GTLM","Jordan Taylor","345","1:44.271","10:55:00.201","Green","Track","25.223","48.528","30.520"
"1","GTD","Madison Snow","335","1:47.424","10:55:01.021","Green","Track","25.425","49.892","32.107"
"24","GTLM","Jesse Krohn","345","1:44.176","10:55:01.061","Green","Track","25.107","48.485","30.584"
"62","GTLM","Jules Gounon","345","1:43.851","10:55:02.352","Green","Track","24.720","48.509","30.622"
"64","GTD","Hugh Plumb","329","1:49.663","10:55:04.043","Green","Track","25.850","51.745","32.068"
"60","DPi","Olivier Pla","363","1:38.917","10:55:06.386","Green","Track","23.752","45.441","29.724"
"55","DPi","Harry Tincknell","360","1:37.036","10:55:06.757","Green","Track","23.628","45.219","28.189"
"54","LMP3","George Kurtz","322","1:49.454","10:55:08.080","Green","Track","27.395","50.255","31.804"
"25","GTLM","Bruno Spengler","345","1:44.956","10:55:12.497","Green","Track","25.767","48.782","30.407"
"74","LMP3","Scott Andrews","339","1:45.119","10:55:12.585","Green","Track","25.154","49.027","30.938"
"6","LMP3","Moritz Kranz","339","1:45.988","10:55:28.919","Green","Track","25.429","49.192","31.367"
"7","LMP3","Ryan Norman","290","1:45.591","10:55:34.902","Green","Track","25.086","49.192","31.313"
"88","GTD","Earl Bamber","334","1:49.231","10:55:38.844","Green","Track","26.061","50.701","32.469"
"47","LMP2","Giorgio Sernagiotto","354","1:40.035","10:55:45.281","Green","Track","24.148","46.628","29.259"
"111","GTD","Steijn Schothorst","304","1:46.800","10:55:48.110","Green","Track","25.003","49.700","32.097"
"18","LMP2","Dwight Merriman","352","1:42.132","10:55:48.548","Green","Track","24.799","47.225","30.108"
"57","GTD","Maro Engel","336","1:46.223","10:55:48.650","Green","Track","24.947","49.585","31.691"
"5","DPi","Tristan Vautier","317","1:37.977","10:55:52.152","Green","Track","24.773","44.795","28.409"
"75","GTD","Mikael Grenier","336","1:47.628","10:55:54.055","Green","Track","25.794","49.815","32.019"
"21","GTD","Simon Mann","336","1:47.253","10:55:56.078","Green","Track","25.495","49.860","31.898"
"79","GTLM","Richard Lietz","334","1:45.137","10:55:59.910","Green","Track","25.619","48.773","30.745"
"28","GTD","Maxi Buhk","332","1:47.973","10:56:01.733","Green","Track","25.878","50.169","31.926"
"82","LMP2","Christopher Mies","352","1:40.541","10:56:03.072","Green","Track","24.024","46.807","29.710"
"44","GTD","Andy Lally","332","1:50.170","10:56:03.912","Green","Track","27.157","50.716","32.297"
"9","GTD","Lars Kern","336","1:47.828","10:56:05.638","Green","Track","25.547","50.016","32.265"
"23","GTD","Ian James","336","1:48.529","10:56:08.103","Green","Track","25.691","50.375","32.463"
"33","LMP3","Wayne Boyd","336","1:44.716","10:56:12.571","Green","Track","24.784","48.626","31.306"
"11","LMP2","Steven Thomas","354","1:41.536","10:56:12.926","Green","Track","24.572","47.309","29.655"
"97","GTD","Ben Keating","336","1:48.730","10:56:15.725","Green","Track","26.119","50.605","32.006"
"96","GTD","Aidan Read","335","1:48.257","10:56:16.049","Green","Track","26.166","50.285","31.806"
"51","LMP2","Austin Dillon","350","1:42.910","10:56:19.336","Green","Track","25.060","47.704","30.146"
"42","GTD","JR Hildebrand","329","1:48.472","10:56:21.006","Green","Track","25.508","50.552","32.412"
"63","GTD","Bret Curtis","335","1:49.732","10:56:24.870","Green","Track","26.408","50.914","32.410"
"91","LMP3","Jeroen Bleekemolen","329","1:43.933","10:56:27.317","Green","Track","24.836","48.233","30.864"
"8","LMP2","John Farano","354","1:41.521","10:56:29.668","Green","Track","24.673","47.244","29.604"
"10","DPi","Filipe Albuquerque","364","1:36.445","10:56:32.755","Green","Track","23.329","44.924","28.192"
"52","LMP2","Scott Huffaker","329","1:39.167","10:56:33.790","Green","Track","23.674","46.486","29.007"
